city_name,latitude,longitude
Mumbai,19.0760,72.8777
Delhi,28.7041,77.1025
Bangalore,12.9716,77.5946
Bengaluru,12.9716,77.5946
Chennai,13.0827,80.2707
Hyderabad,17.3850,78.4867
Kolkata,22.5726,88.3639
Pune,18.5204,73.8567
Ahmedabad,23.0225,72.5714
Jaipur,26.9124,75.7873
Lucknow,26.8467,80.9462
Guwahati,26.1445,91.7362
Patna,25.5941,85.1376
Srinagar,34.0837,74.7973
Bhubaneswar,20.2961,85.8245
Kochi,9.9312,76.2673
Dehradun,30.3165,78.0322
Shimla,31.1048,77.1734
Visakhapatnam,17.6868,83.2185
Nagpur,21.1458,79.0882
Indore,22.7196,75.8577
Bhopal,23.2599,77.4126
Ranchi,23.3441,85.3096
Thiruvananthapuram,8.5241,76.9366
Raipur,21.2514,81.6296
Chandigarh,30.7333,76.7794
Gurgaon,28.4595,77.0266
Noida,28.5355,77.3910
Coimbatore,11.0168,76.9558
Surat,21.1702,72.8311
Kanpur,26.4499,80.3319
Vadodara,22.3072,73.1812
Ghaziabad,28.6692,77.4538
Ludhiana,30.9010,75.8573
Agra,27.1767,78.0081
Nashik,19.9975,73.7898
Faridabad,28.4089,77.3178
Meerut,28.9845,77.7064
Rajkot,22.3039,70.8022
Varanasi,25.3176,82.9739
Amritsar,31.6340,74.8723
Allahabad,25.4358,81.8463
Howrah,22.5958,88.2636
Jabalpur,23.1815,79.9864
Gwalior,26.2183,78.1828
Vijayawada,16.5062,80.6480
Jodhpur,26.2389,73.0243
Madurai,9.9252,78.1198
Kota,25.2138,75.8648
Solapur,17.6599,75.9064
Bareilly,28.3640,79.4150
Aligarh,27.8936,78.0883
Gurugram,28.4595,77.0266
